Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
705 - Floresta,"0,0004613583998","0,001076257424","0,0003009464472","0,001081746363","0,0008087073021",0,"0,002506265664"
615 - Florestopolis,"0,0008041277704","0,001243707929","0,0004426067054","0,000390971538","0,001234924668","0,001257228371","0,002506265664"
634 - Florida,"0,0002113800993","0,0004293939137","0,0001442715072","0,0003629197684","0,0004193130351",0,"0,002506265664"
412 - Formosa do Oeste,"0,001063064403","0,003782686209","0,001678380294","0,00352751002","0,001378464711",0,"0,002506265664"
422 - Foz do Iguacu,"0,02839300082","0,001335609954","0,001387878843","0,002119661836","0,003043259036","0,009570850327","0,002506265664"
471 - Foz do Jordao,"0,0006091972786","0,0008019587377","0,0009746486891","0,0004611009618","0,001154524233",0,"0,002506265664"
841 - Francisco Alves,"0,0006422970985","0,002126734678","0,001425741954","0,002487841311","0,001600554028","0,001510841966","0,002506265664"
321 - Francisco Beltrao,"0,006711211398","0,009582198442","0,007503424","0,007880794005","0,003666950278","0,0001286289037","0,002506265664"
308 - General Carneiro,"0,0003159851729","0,003685193318","0,002676530225","0,001770767952","0,005364415098","0,003665448208","0,002506265664"
653 - Godoy Moreira,"0,00008455869433","0,0005111196774","0,001168533927","0,001486743786","0,0006519589739",0,"0,002506265664"
816 - Goioere,"0,001820959627","0,003726554401","0,002465019056","0,002377387469","0,002824771979","0,001875482694","0,002506265664"
472 - Goioxim,"0,000425117862","0,001825656881","0,003751712","0,002037259763","0,003516255747","0,00026913901","0,002506265664"
220 - Grandes Rios,"0,0002224965965","0,0009795066265","0,002000869546","0,001709404706","0,001543868469",0,"0,002506265664"
416 - Guaira,"0,001615619731","0,002591705737","0,001630725","0,003140044953","0,002845284847","0,004309401659","0,002506265664"
733 - Guairaca,"0,0004874887042","0,001912689945","0,0008081815654","0,0009712925204","0,002480405959",0,"0,002506265664"
225 - Guamiranga,"0,000394470037","0,001716003098","0,003697528583","0,00246855572","0,0012187145","0,0009785869909","0,002506265664"
512 - Guapirama,"0,0003909306245","0,002128560322","0,0006469369396","0,0006890215893","0,0009425412561",0,"0,002506265664"
827 - Guaporema,"0,0002993517306","0,000924251541","0,0006123378904","0,0006785021758","0,001003579545","0,000609234688","0,002506265664"
